description,lucode,color,lulc_general,native_veg,LULC_veg,usle_c,root_depth,Kc,usle_p,CN_A,CN_B,CN_C,CN_D,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12
Urban and paved roads,1,gray0,1,0,0,0.1,0,0.3,1,90,90,90,90,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Bare soil and unpaved roads,2,tan4,2,0,0,1,500,0.15,1,77,86,91,94,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Grass,3,greenyellow,3,0,1,0.034,2000,0.865,1,49,69,79,84,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865
Shrub,4,gold,4,1,1,0.128,2000,0.3,1,48,67,77,83,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
General agriculture,5,darkolivegreen3,5,0,1,0.412,1000,1.1,1,63,75,83,87,1.175,0.4,0.35,0.35,1.175,1.175,0.4,0.3,0.3,0.35,0.35,1.175
Tea,6,palegreen,6,0,1,0.08135,1850,1.015,1,63,75,83,87,1,1,1,1,1,1,1,1,1,1,1,1
Coffee,7,sienna3,7,0,1,0.4393,1600,1.055,1,63,75,83,87,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Mixed forest,8,chartreuse4,8,1,1,0.025,3500,1.008,1,36,60,73,79,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
Water,9,blue,9,0,0,0.0001,10,1.05,1,30,30,30,30,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Evergreen forest,10,forestgreen,10,1,1,0.025,3500,1.008,1,36,60,73,79,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
Forest plantation,11,olivedrab4,11,0,1,0.121,3500,1.008,1,36,60,73,79,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
Pineapple,12,goldenrod,12,0,1,0.055,3500,0.4,1,63,75,83,87,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Wetland,13,springgreen4,13,1,0,0.003,2200,1.2,1,30,30,30,30,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Orchard,14,wheat3,14,0,1,0.412,1000,1.1,1,43,65,76,82,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Corn,15,goldenrod4,15,0,1,0.412,1000,1.1,1,63,75,83,87,1.2,0.45,0.3,0.3,1.2,1.2,0.45,0.3,0.3,0.3,0.3,1.2
Native montane bunchgrass,16,lightgreen,16,1,1,0.03,2000,0.925,1,49,69,79,84,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
Bare rock,17,gray70,17,0,0,1,500,0.15,1,98,98,98,98,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Unpaved road,18,tan4,18,0,0,1,500,0.15,1,72,82,87,89,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
agroforestry,19,orangered2,19,0,1,0.121,3500,1.008,1,64,75,82,85,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
riparian_mgmt,20,orangered2,20,0,1,0.034,2000,0.865,1,49,69,79,84,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865
terracing,21,orangered2,21,0,1,0.2472,1000,1.21,1,59,70,78,81,1.2925,0.44,0.385,0.385,1.2925,1.2925,0.44,0.33,0.33,0.385,0.385,1.2925
reforestation,22,orangered2,22,1,1,0.025,3500,1.008,1,36,60,73,79,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
grass_strips,23,orangered2,23,0,1,0.27604,1000,1.1,1,61,73,81,84,1.175,0.4,0.35,0.35,1.175,1.175,0.4,0.3,0.3,0.35,0.35,1.175
road_mitigation,24,orangered2,24,0,0,0.67,500,0.15,1,83,89,92,93,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
